¿De quien es la frase 'Solo se que no se nada'?,Socrates
En el señor de los anillos Frodo es un,Hobbit
¿Quién es el superheroe mas fuerte?,Superman
¿Como se llama la escritura utilizada por los ciegos?,Braile
¿Cada cuando se celebran los juegos olimpicos?,4 años
¿En que ciudad se encuentra la torre Euiffel?,Paris
¿Quien fue el espose de Frida Kahlo?,Diego Rivera
¿Quien descubrio America?,Cristobal Colon
¿Quien es el Dios de los cristianos?,Jesus
¿Qué se coloca entre los números de una dirección de IP?,Puntos
